# Audience:	External
# Language:	zh-CN
# Last Updated:	2026-03-16
# Owner:	Shared
source_id	evidence_level	source_type	title_zh	title_en	url	last_checked	access_status	key_fact_zh	key_fact_en	note
S36	B	industry_news	搜索新闻周报：AI Mode 链接卡与引用变化	Search news recap on AI Mode link-card and citation shifts	https://www.seroundtable.com/video-03-06-2026-41038.html	2026-03-13	open	周度变化显示 AI 搜索展示逻辑迭代频繁	Weekly updates indicate fast-changing AI result behaviors	用于时效风险提示
S37	B	field_article	流量变天：SEO 到 GEO 转变讨论	Traffic shift: from SEO to GEO discussion	https://mp.weixin.qq.com/s/9imkvXEwZfOs68JZmJsrwQ	2026-03-13	partial_text_extract	强调流量入口转移与引用率指标上升	Emphasizes traffic-entry shifts and citation-oriented metrics	来自公开微信文章 文本已抽取摘要
S38	B	field_article	品牌在 AI 中的形象与语境总和	Brand image in AI as sum of cited contexts	https://mp.weixin.qq.com/s/4uDUTp8S7b8a5r7nYT3yNg	2026-03-13	partial_text_extract	提出品牌语境一致性与降熵治理思路	Highlights context consistency and entropy-reduction approach	来自公开微信文章 文本已抽取摘要
S39	B	field_article	从 SEO 到 GEO 的峰会逐字稿	SEO-to-GEO summit transcript	https://mp.weixin.qq.com/s/pgRdpXCJusPkY3rv2c-zAg	2026-03-13	partial_text_extract	提供四维五层与 E²C 等实践框架	Contains applied frameworks such as 4D×5L and E²C	来自公开微信文章 文本已抽取摘要
S40	B	field_deck	Perception Engineering Framework	The Perception Engineering Framework	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/The Perception Engineering Framework.pdf	2026-03-13	local_file_extract	强调 AI 首印象由外部共识拼接形成	AI first impression is formed by distributed external consensus	用于防御型 GEO 叙事逻辑
S41	B	field_deck	从 SEO 到 GEO 构建品牌在 AI 时代可见性话语权	From SEO to GEO: visibility discourse in AI era	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/从 SEO 到 GEO 构建品牌在AI时代可见性话语权-易点天下Riven-260307.pdf	2026-03-13	local_file_extract	提供 SEO 与 GEO 叠加关系及执行矩阵	Provides layered SEO+GEO relationship and execution matrix	用于执行路径设计
S42	B	field_deck	2026 AI 平台 GEO 对比分析报告	2026 AI platform GEO comparative report	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/2026AI平台GEO白皮书-GEOlyAI-易点天下可见性峰会.pdf	2026-03-13	local_file_extract	给出跨平台引用差异与优先级建议	Provides cross-platform citation differences and prioritization signals	用于平台策略参考
S43	B	field_deck	可见性营销新三板斧	Three-pronged visibility marketing playbook	/Users/mia/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/wxid_33y8mo4fd98y22_4e72/temp/drag/可见性营销新三板斧(2).pdf	2026-03-13	local_file_extract	提出答案位心智位交易位的闭环框架	Proposes answer-position, mindshare-position, transaction-position loop	用于内容组件设计
S44	C	internal_reference	Notion GEO 主文档	Notion GEO master document	https://www.notion.so/GEO-30ade66c690e8156b937f22dc99f75c2	2026-03-13	partial_context_only	仅有目录与部分摘录 需正文授权	Only index-level context available; full-body access required	TODO_REQUIRED_FROM_MIA
S45	C	internal_reference	Drive GEO 资料文件夹	Drive GEO reference folder	https://drive.google.com/drive/folders/1C27TEQSUAIwVNktly057Yahx3S0kGH4c	2026-03-13	partial_context_only	可访问入口但未完成逐篇授权抓取	Folder entry accessible but full-document extraction is incomplete	TODO_REQUIRED_FROM_MIA
S46	B	industry_guide	Proxies for Prompts：从关键词到提示词研究	Proxies for Prompts: from keywords to prompt research	https://searchengineland.com/proxies-for-prompts-466351	2026-03-16	open	AI 搜索研究需从关键词扩展到提示词和问题链路	AI search research should expand from keywords to prompt-level question flows	用于 Prompt Research 方法
S47	B	industry_guide	结构化数据如何支持本地可见性	How structured data supports local visibility across Google and AI	https://searchengineland.com/schema-local-visibility-google-ai-470906	2026-03-16	open	本地结构化字段可降低地址与服务范围误引	Structured local fields reduce mis-citation of address and service scope	用于本地与多地点 GEO
S48	B	industry_study	AI 搜索引用依赖品牌可控信源	AI search citations rely on brand-controlled sources	https://searchengineland.com/ai-search-citations-rely-on-brand-controlled-sources-470731	2026-03-16	open	官网与自有可控资产对引用影响显著	Brand-controlled assets materially influence citation outcomes	用于信源优先级
S49	B	industry_news	AI 搜索下付费与自然边界正在融合	As brands respond to AI search, walls crumble between paid and organic	https://searchengineland.com/as-brands-respond-to-ai-search-walls-crumble-between-paid-and-organic-471267	2026-03-16	open	投放与自然内容策略需要联动设计	Paid and organic strategies increasingly need integrated planning	用于商业化策略
S50	B	industry_news	Amazon 获得针对 Perplexity Comet 的初步禁令	Amazon wins preliminary injunction against Perplexity’s Comet	https://www.searchenginejournal.com/amazon-wins-preliminary-injunction-against-perplexitys-comet/569256/	2026-03-16	open	代理型抓取与自动化交易面临更高法律门槛	Agentic scraping and automated commerce face higher legal constraints	用于合规章节
S51	B	industry_news	Google AI Mode 个性化上下文能力进展	Google AI Mode personal context features still to come	https://www.searchenginejournal.com/googles-ai-mode-personal-context-features-still-to-come/563596/	2026-03-16	open	AI 搜索正在增强个性化上下文信号	AI search is adding stronger personalized context signals	用于意图与个性化章节
S52	B	industry_guide	AI 搜索中的新型链接建设	Old Link Building vs. AI Search	https://www.searchenginejournal.com/ai-search-link-building-resolve-spa/567924/	2026-03-16	open	高质量媒体与证据型内容成为新外链核心	High-authority media and evidence-led content are becoming the new link core	用于权威信号策略
S53	B	industry_news	Google AI Mode 引用覆盖层出现 Ask About	Google AI Mode Ask About in citation overlays	https://www.seroundtable.com/google-ai-mode-ask-about-on-overlay-40936.html	2026-03-16	open	引用交互入口变化会影响点击路径与归因	Citation overlay UI changes can alter click paths and attribution	用于结果页交互策略
S54	B	industry_news	GEO 热度回归理性：与 SEO 的边界讨论	GEO hype busted: where it differs from SEO	https://digiday.com/media/geo-hype-busted-experts-call-it-more-seo-than-new-discipline/	2026-03-16	open	行业观点认为 GEO 应作为 SEO 扩展而非割裂新学科	Experts argue GEO should be treated as an extension of SEO, not a hard replacement	用于认知澄清
S55	A	official_blog	Google AI Mode：Agentic 与个性化更新	Google AI Mode: agentic and personalized updates	https://blog.google/products/search/ai-mode-agentic-personalized/	2026-03-16	open	官方披露 AI Mode 新能力与任务执行方向	Official update on AI Mode capabilities and agentic task execution	用于平台能力边界
S56	A	official_blog	Google Maps 的 Gemini 新功能（含 Ask Maps）	Gemini-powered features in Google Maps	https://blog.google/products/maps/gemini-navigation-features-landmark-lens/	2026-03-16	open	地图场景的 AI 问答入口持续增加	AI Q&A entry points in maps are expanding	用于本地搜索场景
S57	B	industry_news	Google Maps 新增 Ask Maps（独立新闻验证）	Google Maps rolls out Ask Maps (independent coverage)	https://apnews.com/article/1933c40eaecfdbb9aa54d8ae3efcec2e	2026-03-16	open	第三方媒体确认 Ask Maps 在真实产品中的上线	Independent coverage confirms Ask Maps rollout in product	用于新闻交叉验证
S58	B	industry_news	Perplexity Personal Computer：云端代理在 Mac 上运行	Perplexity Personal Computer cloud AI agent on Mac	https://9to5mac.com/2026/03/11/perplexitys-personal-computer-is-a-cloud-based-ai-agent-running-on-mac-mini/	2026-03-16	open	代理型 AI 正从问答扩展到任务执行	Agentic AI is expanding from Q&A to task execution	用于 Agent 趋势章节
S59	B	industry_study	技术 SEO 对 AI 搜索表现影响研究	Technical SEO impact on AI search study	https://www.semrush.com/blog/technical-seo-impact-on-ai-search-study/	2026-03-16	open	技术健康度与 AI 可见性存在显著相关	Technical health has strong correlation with AI visibility	用于技术底座论证
S60	B	industry_study	Semrush AI Overviews 研究	Semrush AI Overviews study	https://www.semrush.com/blog/ai-overviews-study/	2026-03-16	open	AIO 引用模式与传统排名并非完全一致	AIO citation behavior does not fully mirror classic rankings	用于平台差异说明
S61	B	industry_guide	Semrush One AI 可见性审计	AI visibility audit with Semrush One	https://www.semrush.com/blog/ai-visibility-audit-with-semrush-one/	2026-03-16	open	审计框架强调页面级与问题级双维监测	Audit workflow emphasizes page-level and prompt-level monitoring	用于审计流程
S62	B	industry_news	IAB 提出 AI 内容访问付费规则	IAB proposes payment rules for AI content access	https://martech.org/iab-proposes-new-payment-rules-for-ai-content-access/	2026-03-16	open	行业组织推动 AI 内容抓取补偿机制讨论	Industry bodies are pushing compensation models for AI content access	用于政策与商业规则章节
S63	B	industry_news	Yahoo Scout 增加个性化首页	Yahoo adds personalized homepage to Scout AI search	https://searchengineland.com/yahoo-scout-yahoos-return-to-search-and-web-discovery-467907	2026-03-16	open	搜索入口正在向个性化与助手化演进	Search entry points are evolving toward personalization and assistant UX	用于平台变化章节
