# Audience:	Internal
# Language:	zh-CN
# Last Updated:	2026-03-11
# Owner:	Shared
claim_id	claim_statement	allowed_audience	evidence_refs	evidence_summary	risk_level	approved_wording_zh	disallowed_wording_zh	owner	status
CLM-020	标准交付包含策略执行复盘文档	external	week1/kb/02_service_cards_internal_zh-CN.md;week1/kb/07_content_component_library_internal_zh-CN.md	交付范围明确	low	交付策略排期执行清单与复盘	只有口头建议	Shared	approved
CLM-021	案例数据仅在授权范围公开	external	week1/kb/01_brand_facts.md;week1/kb/08_editorial_style_guide_internal_zh-CN.md	合规条款明确	low	仅公开可核验且授权数据	所有客户数据都可公开	Shared	approved
CLM-022	禁止夸大承诺	external	week1/kb/01_brand_facts.md;week1/kb/08_editorial_style_guide_internal_zh-CN.md	编辑规范明示禁用语	low	不做保量保爆类承诺	保证销量翻倍	Shared	approved
CLM-023	客户需提供资料和审批接口	external	week1/kb/02_service_cards_internal_zh-CN.md	客户输入项已定义	low	需提供资料权限与审批接口	客户无需配合	Shared	approved
CLM-024	反馈延迟会影响节奏	external	week1/kb/02_service_cards_internal_zh-CN.md	项目管理规则明示	low	反馈延迟会影响上线节奏	延期不会有影响	Shared	approved
CLM-025	试运行期通常可看到趋势	external	week1/kb/02_service_cards_internal_zh-CN.md;CASE-001;CASE-002	历史案例存在趋势性结果	medium	试运行期通常可观察趋势变化	一周内必达目标	Shared	approved
CLM-026	建议合作周期不少于3个月	external	week1/kb/02_service_cards_internal_zh-CN.md	周期建议来自服务设计	low	建议至少3个月完成验证与迭代	一个月必出稳定结果	Shared	approved
CLM-027	不承诺固定ROI	external	week1/kb/01_brand_facts.md;week1/kb/08_editorial_style_guide_internal_zh-CN.md	边界条款明示	low	不承诺固定ROI	保ROI	Shared	approved
CLM-028	历史案例存在显著增长结果	external	CASE-001;CASE-002;CASE-003;CASE-004;CASE-005;CASE-006;CASE-007	案例登记库可追溯	medium	历史案例显示搜索互动曝光有提升	所有客户都能复制同样结果	Shared	approved
CLM-029	支持中英文双语素材	external	week1/kb/09_publish_service_pages_zh-CN.md;week1/kb/10_publish_service_pages_en.md	双语素材已产出	low	可同步提供zh-CN与en版本	只能输出单语	Shared	approved
CLM-030	可通过邮箱发起沟通	external	CASE-010;week1/kb/01_brand_facts.md	联系方式可核验	low	可通过info@yamaguchitech.cn联系	联系方式待定	Shared	approved
